step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
235,8.502854,8.603268,8.684268,8.723783,8.824005,8.668769
236,8.438821,8.545082,8.626222,8.667131,8.761550,8.610257
237,8.369181,8.473817,8.556192,8.596136,8.696133,8.539466
238,8.297647,8.401406,8.487127,8.526819,8.626066,8.468681
239,8.239486,8.342224,8.426546,8.468280,8.563512,8.409710
240,8.180940,8.280515,8.367920,8.407246,8.507097,8.349534
241,8.109074,8.207127,8.296462,8.336374,8.437276,8.278079
242,8.049904,8.147127,8.235786,8.275869,8.379702,8.217901
243,7.978391,8.075788,8.162494,8.205351,8.308085,8.146273
244,7.906696,8.005781,8.091125,8.131720,8.237262,8.074616
245,7.845188,7.945110,8.030288,8.073187,8.173498,8.014896
246,7.772319,7.873957,7.958342,7.999831,8.099698,7.942944
247,7.702626,7.802742,7.885979,7.926839,8.024956,7.871694
248,7.643156,7.742102,7.823572,7.867620,7.966416,7.811152
249,7.586996,7.681380,7.761944,7.809480,7.904521,7.751461
250,7.515864,7.607789,7.691308,7.738469,7.833333,7.679561
251,7.454910,7.548766,7.629738,7.680386,7.774810,7.619667
252,7.388595,7.476272,7.557920,7.607828,7.699561,7.547007
253,7.317415,7.403327,7.485805,7.535486,7.629405,7.474714
254,7.262506,7.343216,7.424507,7.471421,7.569103,7.414952
255,7.187901,7.271206,7.353386,7.398141,7.495062,7.342278
256,7.112833,7.199499,7.280635,7.323760,7.424369,7.269039
257,7.055247,7.140876,7.219701,7.263607,7.360832,7.208750
258,6.991379,7.082694,7.158297,7.201906,7.300792,7.148046
259,6.916730,7.009212,7.087398,7.128528,7.228934,7.076291
260,6.859464,6.947617,7.029641,7.067288,7.171647,7.016089
261,6.789280,6.876746,6.957438,6.994388,7.096276,6.943819
262,6.718073,6.804884,6.882593,6.923336,7.025540,6.871029
263,6.658993,6.745105,6.822416,6.862424,6.961120,6.810447
264,6.587801,6.675943,6.750277,6.789449,6.885970,6.737699
265,6.514501,6.603185,6.677346,6.718975,6.812561,6.665659
266,6.454512,6.544921,6.615797,6.659143,6.751621,6.605771
267,6.394546,6.483525,6.555746,6.601744,6.688484,6.546938
268,6.326034,6.415885,6.483784,6.530035,6.621509,6.476908
269,6.267660,6.355542,6.424242,6.472411,6.561881,6.417699
270,6.202148,6.287389,6.355011,6.400199,6.488254,6.347824
271,6.134618,6.218227,6.286394,6.329642,6.418764,6.278658
272,6.078005,6.164253,6.227974,6.271252,6.359762,6.220824
273,6.010403,6.094838,6.158138,6.201455,6.292960,6.152212
274,5.947389,6.026632,6.090465,6.132755,6.228771,6.084441
275,5.890494,5.969664,6.033747,6.077429,6.176401,6.028695
276,5.836716,5.915459,5.978620,6.021673,6.121156,5.973068
277,5.773961,5.850480,5.912027,5.955850,6.056084,5.907380
278,5.724402,5.796377,5.857586,5.900837,6.003267,5.852997
279,5.657370,5.729303,5.790817,5.835942,5.937794,5.788239
280,5.587993,5.666236,5.726591,5.771992,5.872713,5.723998
281,5.535885,5.614358,5.673000,5.718999,5.822279,5.672390
282,5.477657,5.551059,5.609385,5.660670,5.760930,5.610390
