step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
206,0.575352,0.712656,0.800126,0.882385,1.013921,0.804672
207,0.563272,0.663317,0.772727,0.847268,1.009111,0.774475
208,0.576139,0.663878,0.761293,0.813123,1.027241,0.761828
209,0.549117,0.633899,0.752223,0.798577,1.001232,0.755685
210,0.548419,0.615004,0.760495,0.820614,0.997200,0.752908
211,0.428741,0.599951,0.696106,0.816833,1.035558,0.731128
212,0.478763,0.606884,0.706800,0.829203,0.962728,0.730769
213,0.468784,0.593173,0.737752,0.856133,0.945368,0.733042
214,0.395711,0.552078,0.678781,0.791355,0.965968,0.689969
215,0.390691,0.534396,0.664087,0.829992,0.980032,0.689632
216,0.392596,0.540261,0.604736,0.855471,0.996094,0.695441
217,0.418216,0.518380,0.617867,0.850336,1.003195,0.702091
218,0.446211,0.532245,0.629162,0.877846,0.978573,0.709347
219,0.438699,0.546142,0.632080,0.906329,1.002092,0.729763
220,0.462160,0.534039,0.640940,0.918097,1.018086,0.734318
221,0.468876,0.536087,0.654113,0.933685,1.050063,0.747617
222,0.441382,0.568036,0.719766,0.968366,1.152013,0.772330
223,0.395387,0.572098,0.742609,0.975244,1.192826,0.792401
224,0.420671,0.581342,0.757061,1.012441,1.234406,0.817291
225,0.320933,0.613734,0.773253,0.989440,1.263979,0.840253
226,0.320934,0.643791,0.771606,1.052917,1.292821,0.858497
227,0.236582,0.671481,0.740486,1.123093,1.277423,0.879401
228,0.204267,0.711271,0.744036,1.101819,1.287682,0.893428
229,0.218821,0.720083,0.808463,1.111700,1.313092,0.920674
230,0.250429,0.755885,0.851508,1.162110,1.355115,0.947709
231,0.171976,0.784611,0.894365,1.156335,1.407519,0.979787
232,0.267464,0.821124,0.932454,1.167549,1.414100,1.004235
233,0.278386,0.834871,0.971142,1.190027,1.424498,1.025214
234,0.414011,0.842269,1.006713,1.215593,1.454890,1.050998
235,0.377717,0.918919,1.002356,1.230476,1.510149,1.078912
236,0.382651,0.938656,1.021161,1.222794,1.545630,1.094949
237,0.380674,0.948374,1.089181,1.213909,1.575236,1.116272
238,0.435638,0.983405,1.124021,1.226093,1.598667,1.148063
239,0.433350,1.008039,1.122866,1.282041,1.636143,1.168407
240,0.504457,1.005385,1.127784,1.299520,1.679067,1.182158
241,0.520479,1.030021,1.138655,1.299778,1.681068,1.182086
242,0.571286,1.053838,1.158405,1.314010,1.695977,1.192598
243,0.627782,1.077620,1.189363,1.314297,1.721361,1.215895
244,0.651348,1.097478,1.188040,1.321341,1.783439,1.236568
245,0.634565,1.119399,1.183489,1.331805,1.796426,1.241709
246,0.644891,1.028417,1.196522,1.341367,1.821638,1.236256
247,0.598771,0.985385,1.207742,1.365928,1.759567,1.236418
248,0.736818,0.974095,1.219475,1.372809,1.740305,1.240484
249,0.837952,0.993962,1.233876,1.384771,1.716695,1.258366
250,0.795606,0.985236,1.204101,1.380979,1.699215,1.242398
251,0.806533,1.020655,1.190314,1.370206,1.747887,1.245614
252,0.824480,1.009478,1.179098,1.382195,1.590840,1.231364
253,0.857527,1.019639,1.186663,1.388522,1.557715,1.224805
254,0.846090,0.997461,1.179341,1.423193,1.575984,1.220419
255,0.866906,1.012229,1.150582,1.429233,1.530894,1.207163
256,0.847714,0.993151,1.157211,1.281918,1.509527,1.176899
257,0.863724,1.013717,1.159873,1.262994,1.538046,1.179937
258,0.912023,0.998383,1.150496,1.305156,1.476195,1.174322
259,0.878036,1.008858,1.157093,1.303558,1.433992,1.160176
260,0.891443,1.021337,1.163594,1.315110,1.407774,1.164535
261,0.871381,0.993825,1.123492,1.300307,1.373071,1.141756
262,0.848560,1.000323,1.113476,1.242859,1.360412,1.123736
263,0.861264,0.964877,1.082192,1.223361,1.372260,1.102045
264,0.857500,0.908351,1.082351,1.182032,1.313218,1.067757
265,0.865931,0.914523,1.070287,1.140101,1.313765,1.053249
266,0.796983,0.902849,1.016584,1.107491,1.276451,1.023923
267,0.828710,0.884191,0.993949,1.100747,1.178028,0.999624
268,0.781325,0.883615,0.968424,1.113977,1.270542,1.006065
269,0.796511,0.883009,0.962437,1.106192,1.289169,1.009959
270,0.737751,0.863597,0.974565,1.093731,1.264025,0.995533
271,0.739685,0.878114,0.961942,1.097637,1.330606,1.000377
272,0.695571,0.869368,0.997788,1.102481,1.339757,1.003306
273,0.677437,0.859455,0.974049,1.030154,1.320107,0.987749
274,0.716821,0.855787,0.969633,1.039427,1.263166,0.982985
275,0.709190,0.812678,0.973011,1.019430,1.238573,0.965955
276,0.770033,0.868841,0.984782,1.061380,1.240912,0.988435
277,0.667322,0.827912,0.927392,0.989602,1.238972,0.942401
278,0.626090,0.828989,0.913456,0.986545,1.273143,0.930503
279,0.641449,0.825857,0.875803,0.988965,1.308499,0.917163
280,0.605752,0.809013,0.867739,0.946055,1.300118,0.903832
281,0.562580,0.817834,0.872859,0.954208,1.295832,0.903506
282,0.556086,0.785964,0.857640,0.926979,1.263856,0.886023
283,0.547259,0.792348,0.844896,0.909606,1.278457,0.883327
284,0.525812,0.762143,0.810399,0.910272,1.258264,0.866128
285,0.565983,0.738559,0.788899,0.914371,1.210735,0.849037
286,0.561795,0.723032,0.778835,0.897912,1.162795,0.829013
287,0.509926,0.692826,0.768056,0.853979,1.161603,0.811781
288,0.502847,0.659497,0.766314,0.820809,1.154961,0.800063
289,0.430831,0.671007,0.760288,0.845427,1.149196,0.797008
290,0.438281,0.664926,0.746616,0.819645,1.105877,0.779063
291,0.414314,0.637355,0.694770,0.833289,1.063548,0.761312
292,0.387976,0.616714,0.690963,0.834107,1.138252,0.758694
293,0.345162,0.610445,0.711905,0.825432,1.152358,0.755437
294,0.323507,0.617371,0.691690,0.857516,1.120963,0.750630
295,0.361345,0.604250,0.675582,0.841980,1.134310,0.749254
296,0.377643,0.572643,0.701287,0.840163,1.119430,0.750437
297,0.410257,0.587175,0.722001,0.799623,1.110768,0.764138
298,0.411537,0.607099,0.721853,0.818610,1.106704,0.769250
299,0.392198,0.596560,0.709041,0.788968,1.142922,0.766145
300,0.453936,0.573385,0.698326,0.768076,1.196845,0.765436
301,0.442379,0.610483,0.735993,0.789270,1.215516,0.781067
302,0.432196,0.632576,0.723680,0.825187,1.183609,0.784540
303,0.420154,0.601633,0.731389,0.804820,1.199009,0.783486
304,0.439955,0.588142,0.743989,0.826393,1.198854,0.785715
305,0.427803,0.619874,0.732693,0.823809,1.181595,0.779289
306,0.425006,0.618827,0.743915,0.889708,1.233557,0.786067
307,0.407309,0.619750,0.736395,0.795964,1.255931,0.786518
308,0.402863,0.610102,0.745954,0.848143,1.225519,0.789142
309,0.408922,0.655322,0.728965,0.831064,1.235202,0.792658
310,0.409126,0.672414,0.769811,0.816165,1.196202,0.801454
311,0.397990,0.642514,0.748302,0.855899,1.194199,0.804173
312,0.436341,0.630368,0.744259,0.803397,1.236219,0.788135
313,0.440264,0.621244,0.737765,0.859661,1.226175,0.791323
314,0.473685,0.620976,0.747711,0.878037,1.193768,0.791241
315,0.473992,0.640312,0.776778,0.865018,1.186138,0.800622
316,0.436342,0.639246,0.743732,0.886462,1.195537,0.797537
317,0.437111,0.676077,0.732131,0.870983,1.209808,0.794634
318,0.456392,0.703680,0.774902,0.913934,1.222733,0.823046
319,0.492861,0.686915,0.776035,0.847081,1.238189,0.811721
320,0.449952,0.700144,0.781069,0.877244,1.207259,0.813765
321,0.457090,0.699888,0.789468,0.905110,1.215936,0.823258
322,0.492740,0.719650,0.782626,0.887503,1.197583,0.815270
323,0.496231,0.691519,0.804760,0.883456,1.229212,0.822040
324,0.505403,0.702680,0.801395,0.889748,1.265068,0.831424
325,0.486558,0.659024,0.807401,0.883979,1.278164,0.826756
326,0.501500,0.645548,0.780701,0.907239,1.266161,0.828395
327,0.495207,0.678749,0.763941,0.904642,1.260360,0.829048
328,0.436664,0.677596,0.793187,0.921990,1.283296,0.835917
329,0.469301,0.652979,0.820051,0.938919,1.314325,0.840012
330,0.500917,0.689533,0.831718,0.914910,1.336546,0.841445
331,0.546890,0.676069,0.810280,0.896120,1.353161,0.837643
332,0.524414,0.691829,0.822922,0.898387,1.324714,0.833671
333,0.558206,0.672155,0.827214,0.969079,1.339575,0.856466
334,0.585512,0.679476,0.811748,0.980838,1.363379,0.870040
335,0.623829,0.678962,0.835402,0.967619,1.370898,0.872620
336,0.589733,0.687427,0.853156,0.979060,1.354611,0.870112
337,0.549222,0.676688,0.877694,0.939517,1.322548,0.866888
338,0.527394,0.684550,0.859315,0.914009,1.349823,0.859475
339,0.511305,0.656839,0.821868,0.870318,1.336186,0.825279
340,0.359767,0.671424,0.803512,0.871855,1.336672,0.822508
341,0.399148,0.670843,0.777714,0.861161,1.348801,0.808868
342,0.416100,0.688075,0.745060,0.821283,1.373656,0.801035
343,0.411141,0.681719,0.758425,0.817613,1.371537,0.794189
344,0.464874,0.677089,0.745898,0.815420,1.340937,0.790188
345,0.371780,0.644920,0.727413,0.801148,1.353463,0.777109
346,0.403521,0.642958,0.699251,0.810023,1.351117,0.767862
347,0.464362,0.615882,0.676567,0.782666,1.323983,0.754124
348,0.371595,0.601220,0.691159,0.745701,1.302919,0.734516
349,0.420001,0.602333,0.670166,0.717151,1.216701,0.723204
350,0.408396,0.574115,0.664629,0.720638,1.179189,0.711295
351,0.390589,0.554950,0.676305,0.711905,1.182705,0.693920
352,0.377790,0.572856,0.615469,0.706512,1.139499,0.675276
353,0.398424,0.535792,0.597523,0.702025,1.084328,0.665085
354,0.404872,0.489473,0.579807,0.685839,1.060857,0.640398
355,0.328364,0.479140,0.557676,0.677244,1.039062,0.626907
356,0.344675,0.467647,0.531320,0.661763,1.051176,0.612727
357,0.299745,0.426574,0.534640,0.659708,0.960157,0.596279
358,0.295759,0.412324,0.521839,0.632427,0.962138,0.579214
359,0.308461,0.394905,0.497305,0.611321,0.946289,0.563185
360,0.305600,0.398550,0.491888,0.612712,0.965932,0.553548
361,0.277917,0.379770,0.478404,0.568569,0.947511,0.534301
362,0.183905,0.375396,0.494196,0.562861,0.900933,0.532639
363,0.226232,0.360642,0.455356,0.563823,0.838211,0.510276
364,0.308837,0.346814,0.441939,0.533243,0.888687,0.495943
365,0.239148,0.320069,0.419766,0.508999,0.824606,0.465611
366,0.221151,0.308634,0.386499,0.490119,0.848317,0.444207
367,0.240336,0.292665,0.396400,0.486790,0.857004,0.452140
368,0.191896,0.296075,0.391920,0.475526,0.825558,0.424475
369,0.150883,0.302289,0.357385,0.425310,0.801748,0.413988
370,0.134011,0.250624,0.351081,0.393900,0.740951,0.394260
371,0.123912,0.270567,0.326315,0.407702,0.729658,0.392326
372,0.112530,0.271366,0.337645,0.369386,0.666213,0.389631
373,0.195522,0.268069,0.346440,0.430209,0.645944,0.396488
374,0.173785,0.295169,0.379245,0.424525,0.690844,0.411660
375,0.114384,0.275165,0.330478,0.396970,0.779151,0.400772
376,0.092340,0.274801,0.348681,0.419791,0.807711,0.409873
377,0.062342,0.324347,0.348879,0.384896,0.810221,0.403906
378,0.053939,0.315116,0.347617,0.395099,0.877644,0.420692
379,0.064415,0.326287,0.369271,0.464531,0.957688,0.447931
380,0.048555,0.306686,0.383199,0.446085,1.030172,0.458421
381,0.068992,0.291650,0.444763,0.485356,1.079706,0.488316
382,0.131904,0.257390,0.443047,0.542124,1.102101,0.508153
383,0.125902,0.332975,0.431439,0.576218,1.126501,0.514748
384,0.189230,0.391034,0.451274,0.610338,1.182805,0.545563
385,0.230640,0.369718,0.472569,0.655420,1.182579,0.580661
386,0.198529,0.428999,0.527411,0.730400,1.219038,0.622725
387,0.176846,0.417388,0.597356,0.743733,1.247409,0.650718
388,0.229753,0.489314,0.650328,0.806943,1.268336,0.697078
389,0.198595,0.487017,0.688556,0.841982,1.303405,0.735887
390,0.161654,0.482052,0.708689,0.888580,1.364901,0.771013
391,0.319915,0.529650,0.732442,0.942246,1.376123,0.802824
392,0.372704,0.582118,0.773080,0.983227,1.398579,0.829193
393,0.477003,0.623495,0.816701,1.003407,1.442606,0.865116
394,0.500812,0.611924,0.797368,1.036883,1.485819,0.882888
395,0.540599,0.631832,0.822945,1.039425,1.519950,0.899890
396,0.440525,0.658844,0.848703,1.089639,1.557118,0.930054
397,0.470986,0.649426,0.864479,1.133458,1.578754,0.941468
398,0.501108,0.672278,0.884871,1.143590,1.685461,0.979203
399,0.634266,0.736066,0.871199,1.166307,1.832069,1.018033
400,0.645764,0.749462,0.880929,1.164350,1.802499,1.029839
401,0.598594,0.775283,0.928320,1.198385,1.968822,1.058996
402,0.612380,0.782135,0.949375,1.192801,2.133844,1.093323
403,0.566356,0.841270,0.942904,1.248864,2.212560,1.119207
404,0.608032,0.836950,0.981388,1.215265,2.200099,1.126773
405,0.648421,0.876733,1.055626,1.272189,2.201389,1.156937
406,0.691345,0.896522,1.101888,1.212984,2.204102,1.163084
407,0.687403,0.885593,1.092214,1.244491,2.217577,1.168882
408,0.679882,0.887224,1.095322,1.262544,2.187759,1.184306
409,0.650376,0.882585,1.147331,1.316969,2.170593,1.204447
410,0.766696,0.908573,1.118747,1.334498,2.179174,1.221411
411,0.704194,0.880954,1.133968,1.332814,2.134839,1.201967
412,0.678969,0.862793,1.151473,1.337262,2.176825,1.204916
413,0.670882,0.873490,1.149231,1.333822,2.263167,1.213799
414,0.670627,0.866276,1.160262,1.330818,2.273460,1.217201
415,0.587299,0.909822,1.112962,1.334910,2.297119,1.210520
416,0.500244,0.883592,1.126394,1.335056,2.257309,1.203976
417,0.498043,0.889124,1.110482,1.331182,2.218162,1.200602
418,0.528990,0.879208,1.131020,1.311950,2.214564,1.199257
419,0.524129,0.901196,1.148080,1.315927,2.149905,1.197237
420,0.508513,0.939887,1.145047,1.307643,2.169170,1.194823
421,0.601192,0.928833,1.160627,1.335973,2.184652,1.209543
422,0.664393,0.985462,1.108543,1.343018,2.171719,1.214456
423,0.654414,0.962386,1.136368,1.313302,2.168005,1.213382
424,0.683345,0.953413,1.113850,1.315220,2.110624,1.202385
425,0.672815,0.993335,1.115813,1.318854,2.118739,1.210679
426,0.648327,1.033229,1.156180,1.335796,2.141061,1.223359
427,0.572910,1.042161,1.172964,1.359290,2.154133,1.227133
428,0.586099,1.017406,1.144899,1.383903,2.111897,1.231930
429,0.561661,1.023595,1.162940,1.351148,2.099553,1.223809
430,0.693080,1.027819,1.155751,1.330500,2.087456,1.229705
431,0.700762,1.032024,1.148045,1.337374,2.089371,1.227109
432,0.719107,1.025137,1.122154,1.347212,2.098704,1.220437
433,0.673817,1.017111,1.093114,1.338266,2.091585,1.209383
434,0.737852,1.056300,1.123060,1.361295,2.174534,1.226627
