step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
155,0.358280,1.253017,1.426570,1.571443,4.003211,1.587682
156,0.405951,1.239015,1.427131,1.554136,4.020376,1.591215
157,0.420120,1.231988,1.421985,1.552880,4.033153,1.598316
158,0.438689,1.215823,1.432663,1.539989,4.013270,1.599556
159,0.441709,1.209798,1.453128,1.587744,3.999338,1.612026
160,0.473169,1.220753,1.455820,1.600415,4.006153,1.622290
161,0.535650,1.224220,1.468912,1.612147,3.990380,1.629460
162,0.430625,1.210574,1.482138,1.634560,3.961558,1.633789
163,0.411292,1.200224,1.486486,1.628694,3.972597,1.635018
164,0.513616,1.188187,1.485384,1.632342,3.968577,1.637235
165,0.525671,1.193948,1.490466,1.639009,3.944888,1.630535
166,0.520824,1.181182,1.484445,1.636833,3.928921,1.628526
167,0.550692,1.184385,1.489771,1.630045,3.879855,1.624118
168,0.576525,1.186242,1.490686,1.607665,3.883384,1.626931
169,0.587519,1.199720,1.483157,1.600809,3.845756,1.627514
170,0.608499,1.202287,1.488573,1.632279,3.821707,1.623853
171,0.706437,1.226583,1.473632,1.631377,3.812543,1.624890
172,0.703451,1.233536,1.470022,1.619075,3.789782,1.622141
173,0.701521,1.252882,1.478705,1.637691,3.726428,1.622259
174,0.718816,1.265547,1.485406,1.630747,3.719425,1.615409
175,0.703101,1.275836,1.487018,1.615941,3.686721,1.614349
176,0.694471,1.291013,1.471301,1.598345,3.583500,1.595019
177,0.704596,1.301035,1.497432,1.608941,3.484779,1.592710
178,0.712045,1.296634,1.499825,1.618459,3.422613,1.583664
179,0.686983,1.284578,1.464452,1.613617,3.343612,1.567500
180,0.711850,1.299240,1.451343,1.581202,3.302389,1.556811
181,0.677864,1.302682,1.450824,1.594870,3.270398,1.555952
182,0.715167,1.297737,1.444375,1.579626,3.186423,1.538426
183,0.728224,1.276994,1.440110,1.578047,3.093503,1.524143
184,0.714747,1.274771,1.409256,1.584207,3.034376,1.517057
185,0.758135,1.265231,1.372021,1.565912,2.992608,1.502509
186,0.752113,1.263173,1.409885,1.544721,2.951563,1.483485
187,0.781206,1.260953,1.410358,1.540997,2.897277,1.481066
188,0.695750,1.251019,1.388961,1.526232,2.852197,1.463385
189,0.698275,1.227440,1.389395,1.533789,2.814188,1.457324
190,0.736143,1.208880,1.377766,1.516523,2.763570,1.450037
191,0.784621,1.200814,1.376653,1.521391,2.677966,1.435188
192,0.813121,1.200624,1.361198,1.525700,2.656109,1.424200
193,0.843443,1.195046,1.388444,1.535914,2.605039,1.423654
194,0.825376,1.165499,1.370892,1.522588,2.517745,1.397632
195,0.798595,1.158690,1.386296,1.491433,2.453548,1.389157
196,0.822690,1.132178,1.346613,1.477530,2.438923,1.374151
197,0.836590,1.140450,1.331492,1.448282,2.306315,1.360095
198,0.835870,1.118624,1.302427,1.441685,2.182633,1.337435
199,0.907574,1.105223,1.283451,1.421950,2.104266,1.320051
200,0.845856,1.064799,1.263770,1.404690,2.069884,1.305473
201,0.790106,1.044746,1.253303,1.392204,2.006486,1.292566
202,0.687931,1.000310,1.246229,1.359311,1.988940,1.263537
203,0.722144,0.972851,1.241580,1.302539,1.951817,1.248699
204,0.667514,0.982839,1.202603,1.264827,1.943520,1.222613
205,0.688268,0.978426,1.204456,1.250681,1.987991,1.211537
206,0.662937,0.968621,1.165623,1.229520,1.995040,1.195596
207,0.706030,0.938657,1.144030,1.198736,2.095993,1.178366
208,0.713160,0.915554,1.098394,1.167157,2.158307,1.156537
209,0.777858,0.933424,1.072439,1.156763,2.207308,1.154786
210,0.747912,0.882099,1.011541,1.124149,2.252522,1.121879
